,PS-NP,NP-HF,HF-4G/4GF
Cbfa2t3h,0.0203956486774,0.0240535817241,-0.00480637586727
Cdh1,-0.0413676665303,-0.0639134089358,-0.0354112446905
Cdh5,-0.0203154891666,0.0244333494568,-0.200023032014
Egfl7,-0.00408618269183,0.00642272803468,-0.0437701998801
Eif2b1,0.00024893397423,0.000227819246845,0.000618389298566
Erg,-0.00933800102092,0.00972886725659,-0.0983459178113
Ets1,-0.019416906366,-0.00865805175796,-0.0788022009729
Ets2,0.000364572779065,-2.67969373615e-05,-0.0107182355209
Etv2,-0.0295476142987,-0.00371597100312,-0.129010571476
Etv6,0.00236230919444,0.00494309956641,-0.0166542188146
Fli1,0.02405298221,0.0518401065225,-0.0501776958927
FoxH1,-0.00860193444055,-0.0103730682802,-0.0130903830176
FoxO4,-0.00392479470168,-0.00594992444041,-0.00699089905551
Gata1,0.0351105877786,0.0152308074403,0.087278409155
Gfi1,-0.00445936390561,-0.0127262536039,-0.0150384211414
Gfi1b,0.0424832006717,0.0178362793268,0.0672531905296
HbbbH1,0.129131688324,0.127315853894,0.272785304134
Hhex,0.00053572286145,0.015004010308,-0.042104821029
HoxB2,3.90486211748e-06,-1.98002097252e-05,-4.00916326832e-05
HoxB4,-0.0072462422103,0.00139181655129,-0.0717347562776
HoxD8,1.70624791692e-05,1.72757917907e-05,3.37809857805e-05
Ikaros,0.0201180844553,-0.00246199598195,0.0162777723575
Itga2b,0.0401426899422,0.053320459539,0.0320001714331
Kdr,-0.0127959637203,0.0145763955892,-0.104261504446
Kit,0.0172804026178,0.0248024951828,-0.00175245642297
Ldb1,0.00184098588814,0.00205395790824,0.00324506193864
Lmo2,-0.00765589542731,0.000392249634649,-0.0353667494249
Lyl1,0.044992316058,0.0532625762133,0.0154163460297
Mecom,-0.00199308155121,0.0150833639943,-0.0194203126034
Meis1,-0.0395032631532,-0.0171699155017,-0.142561389639
Mitf,-0.000257861900117,0.000780582877553,0.00114390894575
Mrpl19,9.56947336569e-05,0.000209474921903,0.000134961214409
Myb,0.0216077216198,0.00783854157571,0.0051463873941
Nfe2,0.0454936805236,0.0335311470516,0.0870328710316
Notch1,-0.0135527670218,-0.00635353082886,-0.0640811390022
Pecam1,0.0276024973,0.0463892485054,-0.0234916382867
Polr2a,-0.000221354780398,-0.000312064261759,-0.00071278531207
Procr,0.00687089283776,0.000711262537236,-0.0183045755165
Runx1,-0.00343375990483,-0.0135646576845,-0.012387108343
Sfpi1,0.00437032262653,-0.002771884696,-0.033327866034
Sox17,-0.0086136226345,0.0101463554929,-0.0426999643141
Sox7,-0.0293095701379,-0.0130236674024,-0.120179470589
Tal1,0.0296564894831,0.04789324906,0.00114540023391
Tbx20,-0.0231618975808,-0.0202850222077,-0.0551358459718
Tbx3,-0.0331830383106,-0.0219933828133,-0.0518845342546
Ubc,-0.000155179442882,-0.000133531605886,-8.8003629753e-05
